marketplace;title;coupon;image_url;affiliate_url;category;description;valid_hours
Shopee;Cupons Shopee ativos hoje;FRETE GRATIS;;https://s.shopee.com.br/111NhMP4uM;Cupons e Promoções;Pegue cupons antes de finalizar sua compra;24
Amazon;Cupons 8.8;40% off em Moda;;https://link.amazon/B05U4ynj7;;"A oferta será aplicada automaticamente na finalização do pedido, se elegível.";
